station,latitude,longitude,elevation
GEV,36.43,-81.42,969.0
GEZ,39.5831,-85.8048,245.0
GFK,47.9492,-97.1761,257.0
GHG,42.0982,-70.6721,3.4
GIC,45.9426,-116.1234,1010.0
GIF,28.0629,-81.7533,44.0
GJT,39.1342,-108.54,1475.0
GKJ,41.6265,-80.2147,428.0
GKY,32.6639,-97.0943,192.0
GLR,45.0135,-84.7036,407.0
GLS,29.2653,-94.8604,16.0
GMU,34.8461,-82.3461,319.0
GNA,47.7453,-90.3457,185.0
GNR,45.4622,-69.5953,316.0
GNV,29.6917,-82.276,46.0
GON,41.33,-72.05,3.0
GOP,31.4213,-97.797,276.0
GPM,32.6988,-97.0469,180.0
GPT,30.4073,-89.0701,9.0
GRB,44.4794,-88.1367,206.1
GRD,34.25,-82.16,192.0
GRF,47.08,-122.58,92.0
GRI,40.9675,-98.3096,563.46
GRK,31.07,-97.83,309.0
GRR,42.88,-85.52,237.0
GSO,36.0975,-79.9436,270.0
GSP,34.8847,-82.2239,296.0
GTB,44.0556,-75.7195,207.0
GTF,47.4733,-111.3822,1115.0
GTR,33.4503,-88.5914,80.0
GTU,30.6808,-97.6767,240.0
GUP,35.5111,-108.7893,1972.0
GUS,40.6481,-86.1521,247.0
GVQ,43.0317,-78.1675,275.45
GVT,33.0678,-96.0653,163.0
GWB,41.3072,-85.0644,268.2
GWR,46.2187,-97.6435,385.0
GWW,35.4606,-77.9649,41.0
GYL,44.756,-94.0812,302.0
GZH,31.4158,-87.0441,79.0
HAI,41.9597,-85.5934,251.0
HCD,44.8599,-94.3825,323.0
HDC,30.52,-90.42,13.0
HDE,40.4521,-99.3365,706.73
HEF,38.7214,-77.5154,59.0
HFD,41.7367,-72.6494,6.0
HFF,35.0367,-79.4974,115.0
HFJ,36.9062,-94.0128,400.5
HGR,39.7078,-77.7297,215.0
HIB,47.3866,-92.839,412.0
HIO,45.5406,-122.9502,62.0
HJH,40.1523,-97.587,444.53
HKY,35.7411,-81.3895,362.0
HLC,39.3756,-99.8297,678.0
HLG,40.175,-80.6463,365.0
HLR,31.1387,-97.7145,283.0
HOP,36.6686,-87.4962,174.0
HOU,29.6375,-95.2824,14.0
HQM,46.9712,-123.9366,4.0
HQZ,32.747,-96.5304,136.0
HRI,45.8258,-119.2611,195.0
HRT,30.4278,-86.6893,12.0
HRX,34.8578,-102.3264,1153.0
HSI,40.6052,-98.4279,591.84
HST,25.4884,-80.3837,2.0
HSV,34.6439,-86.7861,196.0
HTO,40.96,-72.25,17.0
HTS,38.365,-82.555,255.0
HUF,39.4515,-87.3076,179.0
HUL,46.1231,-67.7921,150.0
HUT,38.0655,-97.8606,470.0
HVN,41.2638,-72.8868,4.0
HVR,48.5428,-109.7633,792.0
HWY,38.5863,-77.7106,102.0
HXD,32.2244,-80.6975,6.0
HYA,41.67,-70.28,16.0
HYI,29.8927,-97.863,182.0
HYS,38.8422,-99.2732,609.0
HYW,33.8285,-79.1222,10.7
I19,39.691,-83.992,279.94
I35,36.8593,-83.3585,465.73
I75,41.0472,-93.6876,338.3
IAB,37.623,-97.2673,418.0
IAD,38.9348,-77.4473,98.0
IAH,29.9844,-95.3414,33.0
IBM,41.1881,-103.6774,1497.1
ICT,37.65,-97.43,408.0
IDA,43.5137,-112.0708,1445.0
IDI,40.6322,-79.1055,429.0
IDP,37.1584,-95.7784,251.0
IGQ,41.5349,-87.5295,188.0
IJD,41.7419,-72.1836,76.0
IJX,39.7746,-90.2383,190.0
IKG,27.5509,-98.0309,39.11
IKW,43.6629,-84.2613,193.5
ILG,39.6728,-75.6008,24.0
ILM,34.27,-77.9,10.0
ILN,39.4203,-83.8217,322.0
IND,39.7084,-86.3048,241.0
INT,36.1337,-80.222,296.0
IOB,38.0575,-83.9829,306.07
IPT,41.2433,-76.9217,160.0
IRS,41.8133,-85.4389,282.0
ISO,35.33,-77.61,29.0
ISP,40.7939,-73.1017,30.0
ITH,42.491,-76.4584,335.0
IWI,43.9614,-69.7126,21.0
IXD,38.8309,-94.8903,343.0
IZA,34.6068,-120.0756,205.0
IZG,43.9911,-70.9479,138.0
JAC,43.6128,-110.737,1964.0
JAS,30.8857,-94.0349,65.0
JAX,30.4941,-81.6879,9.0
JFK,40.6386,-73.7622,7.0
JFX,33.902,-87.3142,147.0
JKL,37.5914,-83.3144,421.0
JLN,37.1522,-94.4952,293.32
JMR,45.8861,-93.2718,309.0
JMS,46.93,-98.68,457.0
JST,40.3161,-78.8339,696.0
JXN,42.2598,-84.4594,305.0
JYM,41.9213,-84.5858,360.0
KLS,46.12,-122.9,5.0
L35,34.2638,-116.856,2058.0
L52,35.1015,-120.6224,5.0
LAL,27.9889,-82.0186,43.0
LAN,42.78,-84.58,264.0
LAS,36.0801,-115.1522,664.0
LAX,33.9382,-118.3865,32.0
LBB,33.6636,-101.8228,988.0
LBF,41.1219,-100.669,843.91
LBL,37.0442,-100.9599,879.0
LCI,43.5735,-71.4215,161.99
LEB,43.6261,-72.3042,182.0
LEW,44.0485,-70.2835,88.0
LEX,38.0408,-84.6058,301.0
LFI,37.0828,-76.3605,3.0
LFK,31.234,-94.75,88.0
LFT,30.1986,-91.9896,14.59
LGA,40.7794,-73.8803,9.0
LGB,33.8118,-118.1472,12.0
LIT,34.7273,-92.2357,79.0
LKR,34.723,-80.8544,148.1
LKU,38.01,-77.97,150.0
LND,42.8152,-108.7298,1694.0
LNK,40.8478,-96.7647,352.34
LNP,36.9875,-82.53,817.0
LNS,40.1203,-76.2944,123.0
LOM,40.1376,-75.2651,92.0
LOU,38.228,-85.6637,167.0
LOZ,37.087,-84.077,369.0
LPR,41.3461,-82.1794,241.0
LRF,34.9168,-92.1465,95.0
LSE,43.88,-91.25,199.0
LUA,38.6671,-78.5006,275.0
LUD,33.2542,-97.5805,319.0
LUF,33.535,-112.383,332.0
LUK,39.1033,-84.4186,155.0
LUV,32.7563,-101.9202,911.58
LVJ,29.52,-95.24,13.0
LVM,45.7,-110.45,1419.0
LWA,42.3508,-86.2561,203.0
LWB,37.8583,-80.3995,702.0
LWM,42.7172,-71.1234,45.0
LWS,46.3745,-117.0154,438.0
LXV,39.2281,-106.3161,3026.0
LXY,31.6412,-96.5145,166.29
LYH,37.3208,-79.2067,286.0
M19,35.6377,-91.1764,72.8
M40,33.8738,-88.4897,67.65
MAE,36.9849,-120.1107,76.45
MAF,31.9466,-102.2075,868.94
MAN,43.5813,-116.5231,771.0
MBS,43.53,-84.08,202.0
MCD,45.865,-84.6372,226.0
MCF,27.85,-82.52,4.0
MCI,39.2976,-94.7139,320.0
MCK,40.2063,-100.5921,781.96
MCN,32.6928,-83.6492,110.0
MCO,28.4294,-81.309,32.0
MCW,43.1544,-93.3261,370.0
MDD,32.0365,-102.101,854.0
MDQ,34.86,-86.56,230.0
MDS,44.016,-97.0859,520.8
MDT,40.1936,-76.7633,94.0
MDW,41.786,-87.7524,188.0
MEM,35.0611,-89.985,87.0
MFD,40.82,-82.52,395.0
MFE,26.1758,-98.2386,33.0
MFI,44.6369,-90.1893,379.0
MFR,42.3811,-122.8722,405.0
MGE,33.9153,-84.5163,326.0
MGM,32.3006,-86.394,62.0
MGN,45.4256,-84.9134,209.0
MGR,31.0849,-83.8033,90.0
MGW,39.6429,-79.9163,380.0
MHT,42.9328,-71.4357,71.0
MIA,25.788,-80.3169,4.0
MIB,48.4158,-101.358,508.0
MIC,45.0622,-93.3511,261.65
MKC,39.123,-94.593,227.0
MKE,42.9472,-87.8967,206.0
MKJ,36.8949,-81.3499,780.0
MKL,35.5931,-88.9167,132.0
MLB,28.1028,-80.6453,11.0
MLI,41.4485,-90.5075,181.0
MLS,46.428,-105.8863,801.0
MMT,33.92,-80.8,77.0
MMV,45.1945,-123.1361,48.0
MOB,30.6883,-88.2456,67.0
MOD,37.6258,-120.9544,30.0
MPV,44.2035,-72.5623,355.0
MQB,40.52,-90.65,215.0
MQS,39.979,-75.8655,201.2
MQY,36.009,-86.5201,166.0
MRB,39.4019,-77.9847,170.0
MSP,44.8854,-93.2313,265.0
MSY,29.9933,-90.2511,9.0
MTC,42.6083,-82.8355,177.0
MTJ,38.505,-107.8975,1755.0
MTO,39.4779,-88.2792,214.0
MWC,43.1104,-88.0344,227.0
MWH,47.2086,-119.3191,361.0
MWL,32.7816,-98.0602,296.0
MWN,44.2708,-71.3035,1910.0
MXF,32.3829,-86.3658,51.0
MYR,33.68,-78.93,8.0
N60,47.6458,-101.4394,587.0
NBC,32.4774,-80.7232,12.0
NCA,34.7084,-77.4397,8.0
NFE,36.695,-76.1356,5.0
NFW,32.781,-97.4365,198.0
NGU,36.9375,-76.2893,5.0
NHK,38.286,-76.4118,12.0
NIP,30.2342,-81.6747,7.0
NKT,34.9,-76.88,9.0
NMM,32.5521,-88.5556,97.0
NQA,35.3567,-89.8703,98.0
NTD,34.12,-119.12,2.0
NTU,36.8207,-76.0335,7.0
NUW,48.3518,-122.656,14.0
NYC,40.779,-73.9693,27.0
NZY,32.6922,-117.2098,8.0
OAJ,34.8292,-77.6121,29.0
OAK,37.7213,-122.2207,3.0
OCF,29.1636,-82.221,28.28
ODX,41.6236,-98.9517,628.41
OEO,45.3086,-92.69,275.0
OFF,41.1183,-95.9125,298.66
OFP,37.7089,-77.4366,63.0
OGD,41.1957,-112.0129,1362.0
OGS,44.6819,-75.4655,91.0
OJC,38.85,-94.7392,334.0
OKB,33.22,-117.35,9.0
OKC,35.3889,-97.6006,397.0
OKK,40.5282,-86.059,253.0
OKV,39.1435,-78.1444,222.0
OLM,46.9733,-122.9033,61.0
OLV,34.9787,-89.7869,122.5
OMA,41.3103,-95.8992,295.67
OMH,38.2472,-78.0456,142.0
ONL,42.4697,-98.6881,616.83
ONO,44.0206,-117.0128,668.0
ONT,34.056,-117.6012,287.0
ONZ,42.0991,-83.1615,180.0
OPF,25.9102,-80.2828,3.0
OPL,30.5584,-92.0994,23.45
ORB,48.0159,-92.856,397.0
ORD,41.9875,-87.9319,200.0
ORE,42.5701,-72.2886,164.0
ORF,36.9033,-76.1922,9.0
ORH,42.2673,-71.8757,308.0
OSA,33.0956,-94.9614,111.0
OSC,44.4515,-83.3942,193.0
OSH,43.9843,-88.557,248.0
OSU,40.08,-83.08,280.0
OUN,35.2435,-97.4708,357.0
OWB,37.7388,-87.1668,124.0
OWD,42.1912,-71.1733,15.0
OXC,41.4741,-73.1354,222.0
OXR,34.2008,-119.2072,13.0
OZW,42.6294,-83.9822,293.0
P59,47.4669,-87.875,190.0
PAAQ,61.5949,-149.0887,71.0
PABT,66.9165,-151.5189,199.0
PACD,55.2207,-162.7323,24.06
PACV,60.4889,-145.4511,13.0
PAE,47.907,-122.2816,185.0
PAED,61.2514,-149.8065,65.0
PAEI,64.6657,-147.1015,167.0
PAGS,58.4253,-135.7074,9.0
PAH,37.0563,-88.7744,120.0
PAJN,58.355,-134.5763,7.0
PALH,61.1786,-149.9651,22.0
PAMR,61.2163,-149.8573,30.0
PANC,61.1697,-150.0261,40.0
PANN,64.5473,-149.074,110.0
PAOM,64.5122,-165.4452,7.0
PAPG,56.7999,-132.9501,26.48
PASD,55.3137,-160.5214,7.0
PAVD,61.134,-146.248,37.0
PAWG,56.4843,-132.3698,13.0
PBH,45.7089,-90.4025,449.0
PDT,45.6951,-118.8414,456.0
PDX,45.5908,-122.6003,12.0
PEA,41.3989,-92.9431,265.0
PEO,42.6371,-77.0529,298.0
PEQ,31.38,-103.51,796.0
PGD,26.9172,-81.9914,8.0
PHF,37.1319,-76.493,13.0
PHL,39.8683,-75.2311,9.0
PHMK,21.1529,-157.0963,137.0
PHOG,20.9,-156.43,20.0
PHTO,19.7203,-155.0485,11.0
PHX,33.4343,-112.0116,337.0
PIA,40.6675,-89.6839,205.0
PIH,42.9098,-112.5959,1365.0
PKD,46.9,-95.07,442.0
PLN,45.5709,-84.7967,217.0
PMV,40.9502,-95.9179,365.23
PNC,36.73,-97.1,307.0
PNM,45.5599,-93.6082,298.0
PNS,30.4781,-87.1869,37.0
PNT,40.9244,-88.6239,201.0
POB,35.1709,-79.0145,66.0
POE,31.0448,-93.1916,100.0
POF,36.7739,-90.3249,99.0
POU,41.6266,-73.8842,51.0
POY,44.8672,-108.7934,1538.5
PPQ,39.6389,-90.7784,216.0
PRB,35.6694,-120.6291,251.19
PSC,46.2647,-119.119,124.0
PSM,43.0779,-70.8233,31.0
PSO,37.2863,-107.056,2336.0
PTD,44.6757,-74.9469,140.47
PTK,42.6655,-83.4201,299.0
PTS,37.4495,-94.7311,289.6
PTT,37.7016,-98.7469,595.0
PTW,40.2383,-75.5572,94.0
PVB,42.6894,-90.4444,312.0
PVD,41.7219,-71.4325,19.0
PVW,34.1681,-101.7173,1028.0
PWM,43.6424,-70.3044,19.0
PYX,36.414,-100.75,889.0
PZQ,45.4071,-83.8129,204.0
RAL,33.9519,-117.4451,249.0
RAS,27.81,-97.09,2.0
RBG,43.2388,-123.3559,160.0
RCA,44.1451,-103.1036,977.43
RDD,40.509,-122.2934,153.0
RDM,44.2539,-121.15,938.0
RDU,35.8922,-78.7819,117.96
RFD,42.1927,-89.093,221.0
RGK,44.5915,-92.4868,239.0
RIC,37.5115,-77.3234,54.0
RIL,39.5263,-107.7269,1691.0
RIV,33.9,-117.25,469.0
RLD,46.3015,-119.3012,115.79
RME,43.2239,-75.3953,143.62
RMG,34.3478,-85.1611,196.0
RMY,42.2512,-84.9554,287.0
RND,29.53,-98.28,232.0
RNH,45.1483,-92.5381,304.0
RNM,33.0392,-116.9153,425.0
RNP,42.9929,-84.1389,224.0
RNT,47.4931,-122.2157,9.0
ROA,37.3172,-79.9737,344.71
ROC,43.1167,-77.6767,169.0
ROW,33.3,-104.53,1118.0
RPD,45.4201,-91.7733,347.0
RPJ,41.893,-89.0783,238.0
RQB,43.7226,-85.5041,302.0
RRL,45.1989,-89.7129,401.0
RST,43.9041,-92.4916,403.0
RSV,39.016,-87.6498,141.0
RSW,26.5381,-81.7567,9.0
RTN,36.7415,-104.5022,1935.0
RUT,43.53,-72.95,240.0
RWI,35.8563,-77.8919,48.0
RWV,30.5155,-96.7041,119.0
RXE,43.8339,-111.8051,1481.0
RZL,40.9479,-87.1826,213.0
S52,48.4249,-120.1459,514.63
SAA,41.4435,-106.8275,2114.3
SAC,38.5069,-121.495,8.0
SAD,32.8547,-109.6353,968.0
SAF,35.6171,-106.0894,1934.0
SAN,32.7339,-117.1845,9.0
SAT,29.5337,-98.4698,242.0
SAV,32.1276,-81.2021,15.0
SBD,34.0954,-117.2349,353.0
SBM,43.7698,-87.8517,232.0
SBN,41.7072,-86.3164,237.0
SBY,38.3405,-75.5103,16.0
SDL,33.6229,-111.9105,460.0
SDM,32.57,-116.98,160.0
SEA,47.4447,-122.3144,137.0
SEG,40.8206,-76.8639,137.0
SFB,28.7797,-81.2436,17.0
SFF,47.6828,-117.3226,595.0
SFM,43.3939,-70.708,74.0
SFO,37.619,-122.3749,5.0
SFQ,36.6823,-76.6019,22.0
SGF,37.2397,-93.3897,390.0
SGJ,29.9593,-81.3397,3.0
SGR,29.6223,-95.6565,2.0
SHD,38.2638,-78.8964,366.0
SHN,47.2336,-123.1476,85.0
SHR,44.77,-106.97,1209.0
SHV,32.4472,-93.8244,79.0
SIY,41.7737,-122.4682,804.95
SJC,37.3594,-121.9244,17.0
SJT,31.3517,-100.495,582.0
SKA,47.6151,-117.6558,750.0
SKF,29.3842,-98.5811,210.0
SLB,42.5972,-95.2399,449.9
SLC,40.78,-111.97,1288.0
SLE,44.9095,-123.0025,61.0
SLH,45.6537,-84.5193,195.0
SLN,38.791,-97.6522,388.0
SLO,38.6429,-88.9642,175.0
SLR,33.16,-95.62,149.0
SME,37.0536,-84.6156,283.0
SMF,38.6954,-121.5908,7.0
SMQ,40.6239,-74.6694,32.0
SMX,34.9,-120.45,73.0
SNA,33.6757,-117.8682,16.0
SNK,32.6934,-100.9505,741.0
SOW,34.2655,-110.0057,1954.0
SPA,34.9157,-81.9565,244.1
SPG,27.7651,-82.627,2.0
SPI,39.8447,-89.6839,181.0
SPS,33.9786,-98.4928,314.0
SPW,43.1682,-95.2101,403.0
SSF,29.337,-98.4711,176.0
STC,45.5433,-94.0513,314.0
STE,44.5451,-89.5303,338.0
STL,38.7525,-90.3734,171.0
STP,44.9345,-93.06,219.0
STS,38.5037,-122.811,31.35
SUE,44.8437,-87.4216,221.0
SUN,43.5038,-114.2956,1620.0
SUS,38.6572,-90.6558,141.0
SUU,38.2627,-121.9275,19.0
SVC,32.6365,-108.1564,1659.0
SVN,32.01,-81.146,13.0
SWO,36.1612,-97.0857,300.0
SYF,39.7611,-101.7959,1037.35
T20,29.528,-97.4614,108.13
T35,30.8794,-96.9711,124.16
T82,30.2432,-98.9092,517.0
TAD,37.2594,-104.3407,1756.0
TAN,41.8756,-71.0211,13.0
TBR,32.4827,-81.7369,57.0
TCM,47.1377,-122.4765,98.0
TCS,33.2367,-107.2681,1481.0
TCY,37.6889,-121.4416,56.52
TDZ,41.5631,-83.4764,189.0
TEB,40.859,-74.0562,3.0
TEW,42.5658,-84.4232,280.0
THA,35.38,-86.2467,326.26
TIP,40.2936,-88.1424,225.0
TIW,47.2675,-122.5761,89.0
TKI,33.18,-96.59,179.0
TKV,45.469,-89.8057,453.0
TLH,30.3935,-84.3513,21.0
TME,29.805,-95.8979,50.6
TNB,36.2,-81.65,959.0
TOL,41.5886,-83.8014,210.0
TOP,39.07,-95.62,270.0
TPA,27.9619,-82.5403,3.0
TQE,41.7635,-96.1779,308.66
TRI,36.4752,-82.4074,463.0
TRK,39.32,-120.1396,1798.0
TTN,40.2768,-74.8159,65.0
TUL,36.1984,-95.8881,206.0
TUP,34.2608,-88.7711,110.0
TUS,32.1203,-110.938,779.0
TVC,44.7416,-85.5824,190.0
TVI,30.9018,-83.8811,80.0
TVL,38.8939,-119.9953,1909.0
TWM,47.0492,-91.745,328.0
TXK,33.4537,-93.991,119.0
TYR,32.3541,-95.4024,166.0
TYS,35.8181,-83.9858,299.0
U42,40.6196,-111.9902,1402.74
UAO,45.25,-122.77,60.0
UCP,41.0253,-80.4134,326.7
UIN,39.9428,-91.1946,234.0
UKT,40.4352,-75.3819,160.0
UNO,36.8784,-91.9027,372.0
UNU,43.4265,-88.7038,285.0
UOX,34.3843,-89.5368,137.8
UZA,34.9878,-81.0572,202.0
VAD,30.9678,-83.193,71.0
VBT,36.3457,-94.2194,395.0
VCB,38.3775,-121.9575,34.0
VCT,28.8614,-96.9303,36.0
VDI,32.19,-82.37,84.0
VEL,40.4409,-109.5099,1608.0
VES,40.2044,-84.5319,306.9
VIH,38.13,-91.77,333.0
VIS,36.3187,-119.3929,89.0
VLL,42.5429,-83.1779,222.0
VNY,34.2097,-118.4892,244.0
VPC,34.1232,-84.8487,233.0
VPS,30.4833,-86.5254,26.0
VSF,43.3436,-72.5173,176.0
VUJ,35.4167,-80.1508,186.0
W22,39.0005,-80.2737,498.0
WJF,34.7411,-118.2186,715.0
WLD,37.1681,-97.0369,351.0
WRB,32.6401,-83.5918,90.0
WRI,40.0156,-74.5917,41.0
XBP,33.1753,-97.8284,259.7
XNA,36.282,-94.307,392.0
Y70,42.938,-85.0606,249.3
YIP,42.2379,-83.5304,215.0
YNG,41.2544,-80.6739,360.0
ZZV,39.9445,-81.8921,268.0
